Geneid,Control1,Control2,Control3,Disease1,Disease2,Disease3
ENSG00000183155.5,90,81,75,32,119,123
ENSG00000117153.16,231,192,216,62,211,267
ENSG00000230280.2,22,24,18,4,23,26
ENSG00000199471.1,6,5,5,5,2,8
ENSG00000159346.13,256,283,277,71,304,255
ENSG00000159348.13,1256,1419,951,247,803,960
ENSG00000234761.2,27,25,16,16,41,44
ENSG00000290909.1,0,0,0,0,0,0
ENSG00000231547.1,22,8,8,6,22,36
ENSG00000163444.12,163,98,135,45,156,237
ENSG00000143847.16,694,642,622,294,793,1393
ENSG00000122180.5,192,146,199,60,201,349
ENSG00000163485.18,155,145,142,79,171,295
ENSG00000234775.2,72,66,67,44,110,134
ENSG00000224671.2,21,19,25,4,25,45
ENSG00000133055.10,243,137,158,93,213,758
ENSG00000133048.13,144,116,103,69,169,239
ENSG00000133063.16,131,121,133,66,178,274
ENSG00000236523.2,17,8,20,5,14,30
ENSG00000231507.4,81,67,71,31,124,140
ENSG00000288925.1,14,20,18,3,22,25
ENSG00000233791.7,117,106,119,47,150,168
ENSG00000159388.6,533,236,469,94,272,317
ENSG00000202300.1,7,3,5,3,2,7
ENSG00000122176.12,112,114,162,50,182,254
ENSG00000229652.1,16,3,7,10,18,15
ENSG00000271588.1,8,10,5,3,14,13
ENSG00000188783.6,357,176,211,87,286,354
ENSG00000188770.10,91,73,78,45,119,198
ENSG00000058668.16,721,614,887,249,864,917
ENSG00000236035.2,14,24,14,9,21,32
ENSG00000221643.1,7,9,14,2,9,6
ENSG00000122188.13,89,90,92,40,115,169
ENSG00000257315.4,11,5,7,7,11,20
ENSG00000058673.17,13,14,16,2,13,15
ENSG00000288644.1,0,0,0,0,0,0
ENSG00000227417.3,27,26,34,13,34,34
ENSG00000223505.2,3,9,5,2,9,15
ENSG00000182004.13,125,109,164,30,100,147
ENSG00000236430.1,32,34,26,16,52,63
ENSG00000232917.5,0,4,2,1,6,7
ENSG00000237379.1,15,18,17,3,15,28
ENSG00000286383.2,50,24,49,13,75,66
ENSG00000176754.13,58,46,66,18,70,110
ENSG00000286572.1,75,62,70,33,81,139
ENSG00000143842.15,365,273,347,146,341,476
ENSG00000261065.1,0,0,0,0,0,0
ENSG00000143845.15,157,113,116,55,155,227
ENSG00000230550.2,48,46,53,11,51,81
ENSG00000143839.15,138,122,123,61,179,247
ENSG00000225522.2,22,5,7,4,22,25
ENSG00000170498.10,30,30,19,22,37,73
ENSG00000174567.8,64,64,63,35,80,125
ENSG00000143850.16,541,457,473,237,667,856
ENSG00000231691.2,70,60,68,26,86,109
ENSG00000219133.2,17,8,7,2,19,31
ENSG00000280924.1,44,33,38,26,58,61
ENSG00000226330.1,39,35,32,22,46,66
ENSG00000237848.1,7,10,0,3,10,9
ENSG00000158615.10,285,175,350,67,248,289
ENSG00000288934.2,13,12,16,6,17,20
ENSG00000133056.14,548,478,654,269,644,884
ENSG00000198625.14,694,474,588,206,685,671
ENSG00000236779.1,23,18,21,17,38,48
ENSG00000200408.1,15,10,10,3,29,12
ENSG00000240710.1,38,28,46,19,47,79
ENSG00000170382.12,237,168,195,96,275,377
ENSG00000240219.1,85,57,54,41,95,119
ENSG00000228153.1,23,16,21,11,28,48
ENSG00000252650.1,13,11,15,4,19,20
ENSG00000251861.1,6,3,6,1,8,10
ENSG00000287197.1,48,66,65,33,87,126
ENSG00000163531.17,512,484,547,286,741,1111
ENSG00000229657.2,36,29,23,9,25,46
ENSG00000184144.12,461,361,398,172,532,777
ENSG00000174529.7,32,20,28,6,37,59
ENSG00000117222.14,223,176,220,63,193,250
ENSG00000271580.1,22,17,22,3,34,41
ENSG00000236108.1,13,16,11,5,20,19
ENSG00000133059.18,410,309,401,147,390,525
ENSG00000213041.4,18,12,9,8,18,22
ENSG00000133069.17,213,197,214,109,302,383
ENSG00000225063.1,14,18,19,5,19,23
ENSG00000163545.11,153,105,115,72,160,283
ENSG00000162873.15,132,113,153,73,167,286
ENSG00000235363.1,10,8,12,10,9,15
ENSG00000226235.1,68,46,65,25,87,103
ENSG00000186007.10,70,63,77,19,60,125
ENSG00000281406.2,181,152,179,108,250,390
ENSG00000199059.3,12,5,7,3,4,19
ENSG00000224717.1,87,62,74,30,87,121
ENSG00000117266.16,248,256,220,135,344,461
ENSG00000253097.1,1,5,6,1,5,12
ENSG00000174514.13,155,140,153,76,180,247
ENSG00000206762.1,6,5,11,4,7,14
ENSG00000158711.14,687,454,788,218,604,633
ENSG00000236942.1,17,22,26,10,38,30
ENSG00000158715.6,130,117,132,62,200,254
ENSG00000275213.1,0,0,0,0,2,0
ENSG00000069275.13,2168,1775,2613,448,1511,1753
ENSG00000201944.1,6,1,16,3,13,9
ENSG00000117280.13,123,81,121,41,117,146
ENSG00000285521.1,21,19,23,1,36,68
ENSG00000133065.11,732,586,677,182,499,575
ENSG00000286619.1,116,91,131,39,144,181
ENSG00000162877.13,127,104,110,76,174,204
ENSG00000174502.19,248,238,229,138,311,504
ENSG00000227687.1,13,10,14,9,14,26
ENSG00000276600.5,161,129,130,68,208,296
ENSG00000196188.12,115,112,97,65,133,233
ENSG00000285417.1,53,54,57,26,88,138
ENSG00000263961.8,48,74,57,22,48,79
ENSG00000252692.1,3,8,4,1,10,8
ENSG00000198049.7,121,112,122,55,172,277
ENSG00000226780.1,28,31,18,13,47,41
ENSG00000287432.1,21,11,41,6,54,48
ENSG00000225483.1,7,10,7,2,5,20
ENSG00000236889.1,10,5,15,4,11,23
ENSG00000196550.11,24,27,30,15,50,65
ENSG00000266028.8,246,220,322,141,394,511
ENSG00000229509.1,4,5,7,8,6,7
ENSG00000263528.8,240,198,206,125,313,473
ENSG00000278465.1,1,1,3,2,3,4
ENSG00000162888.4,54,50,44,31,77,120
ENSG00000261000.1,25,8,18,7,17,29
ENSG00000266094.8,313,215,265,135,359,498
ENSG00000234981.1,31,14,20,15,35,33
ENSG00000279946.1,79,60,81,21,81,115
ENSG00000143486.16,291,229,309,97,235,285
ENSG00000237605.3,6,15,10,5,16,28
ENSG00000143479.18,189,142,187,74,246,256
ENSG00000162889.11,798,615,722,204,441,549
ENSG00000224114.1,23,30,26,18,22,49
ENSG00000199349.1,2,2,0,0,5,6
ENSG00000136634.7,74,85,72,32,91,146
ENSG00000142224.18,106,82,93,29,113,146
ENSG00000162891.11,32,21,34,25,44,91
ENSG00000162892.16,43,41,38,25,82,104
ENSG00000162894.12,124,110,129,45,146,175
ENSG00000271680.1,20,5,9,5,8,9
ENSG00000226945.1,23,27,27,5,22,39
ENSG00000162896.6,169,131,178,74,227,297
ENSG00000162897.16,152,127,111,52,167,265
ENSG00000182795.13,154,162,154,66,209,276
ENSG00000123836.15,850,611,440,166,612,660
ENSG00000180667.11,172,128,197,63,178,265
ENSG00000123843.13,50,44,53,16,73,70
ENSG00000123838.11,99,51,67,32,95,95
ENSG00000275392.1,3,0,2,2,8,8
ENSG00000226565.2,13,8,6,3,10,23
ENSG00000224462.2,30,49,36,17,36,79
ENSG00000243636.1,10,8,12,3,10,24
ENSG00000232621.1,18,10,14,3,24,34
ENSG00000237074.2,27,31,20,11,36,42
ENSG00000196352.18,413,213,382,72,251,243
ENSG00000283044.1,17,11,9,5,21,28
ENSG00000117322.19,121,108,120,37,166,259
ENSG00000203710.12,188,194,176,69,252,359
ENSG00000236911.6,13,8,13,3,17,34
ENSG00000197721.17,58,44,57,28,79,130
ENSG00000244703.3,17,8,13,10,22,28
ENSG00000226289.1,32,24,27,10,44,46
ENSG00000274059.1,3,2,3,0,2,6
ENSG00000285239.1,45,32,33,9,49,61
ENSG00000117335.21,365,303,400,126,313,388
ENSG00000203709.14,463,320,508,182,427,534
ENSG00000234219.1,13,5,10,6,8,29
ENSG00000284214.1,20,12,36,9,11,21
ENSG00000284203.1,22,22,30,10,25,42
ENSG00000289071.2,60,34,77,35,61,83
ENSG00000174059.17,493,408,717,231,710,563
ENSG00000285719.2,55,25,35,11,51,79
ENSG00000284237.1,190,166,209,74,253,303
ENSG00000076356.7,814,582,754,379,812,1056
ENSG00000287220.1,23,24,25,8,22,49
ENSG00000286198.3,74,55,56,30,85,103
ENSG00000226843.1,1,1,1,0,3,7
ENSG00000261453.2,33,34,55,11,52,83
ENSG00000259815.1,9,4,9,0,9,9
ENSG00000227887.1,8,3,6,1,7,9
ENSG00000232812.2,27,19,35,8,35,48
ENSG00000236950.1,14,11,18,6,18,26
ENSG00000278684.1,3,4,3,4,7,3
ENSG00000287046.1,34,34,35,13,34,39
ENSG00000232537.2,34,28,42,22,61,82
ENSG00000228081.2,18,16,22,11,34,36
ENSG00000224540.1,43,45,46,22,55,84
ENSG00000225712.1,21,14,12,7,23,26
ENSG00000227940.2,29,21,31,14,32,43
ENSG00000231648.2,79,63,52,36,98,114
ENSG00000230937.13,50,38,35,18,60,102
ENSG00000284485.1,9,8,7,1,14,12
ENSG00000224260.6,48,43,50,23,70,78
ENSG00000287902.2,4,8,8,2,12,16
ENSG00000008118.10,162,157,160,86,268,294
ENSG00000196878.15,355,260,340,144,363,541
ENSG00000283876.1,2,3,1,1,8,10
ENSG00000227591.6,29,18,24,4,36,50
ENSG00000123689.6,3313,1155,1849,157,478,723
ENSG00000117594.10,57,45,49,16,53,76
ENSG00000236136.1,28,17,19,6,36,65
ENSG00000009790.15,123,93,121,52,175,235
ENSG00000162757.4,31,14,12,8,28,34
ENSG00000289700.1,0,0,0,1,0,0
ENSG00000117595.13,55,38,49,16,68,84
ENSG00000117597.18,234,174,249,90,291,386
ENSG00000143469.21,169,110,134,49,183,252
ENSG00000287343.1,27,28,25,9,40,45
ENSG00000203706.9,21,24,21,4,32,42
ENSG00000082497.12,92,67,97,39,143,166
ENSG00000228110.4,33,43,25,9,51,77
ENSG00000233455.2,30,30,35,12,37,35
ENSG00000054392.13,186,159,169,84,265,322
ENSG00000287354.1,58,39,61,23,84,103
ENSG00000200972.1,3,0,8,1,9,20
ENSG00000287157.1,46,32,30,18,48,94
ENSG00000270936.1,17,11,20,3,19,30
ENSG00000143473.14,179,106,116,64,216,293
ENSG00000279333.1,0,0,0,0,0,0
ENSG00000224668.1,25,31,21,17,35,35
ENSG00000283952.1,9,8,7,0,10,18
ENSG00000284376.1,62,48,41,16,64,94
ENSG00000234233.1,23,17,24,9,27,48
ENSG00000234004.4,12,4,3,0,11,15
ENSG00000226986.4,37,21,21,16,38,65
ENSG00000117625.14,743,440,614,160,473,558
ENSG00000082512.15,155,141,149,66,190,254
ENSG00000287033.2,15,12,25,6,21,31
ENSG00000153363.15,131,74,124,29,166,167
ENSG00000236809.2,22,21,12,2,31,37
ENSG00000238137.2,7,11,7,1,11,24
ENSG00000198570.7,98,89,105,51,152,200
ENSG00000223649.1,25,23,22,15,32,48
ENSG00000170385.10,151,92,171,56,169,215
ENSG00000261314.1,15,13,15,5,20,36
ENSG00000288738.1,24,13,27,4,26,51
ENSG00000228792.3,42,20,27,16,43,46
ENSG00000227764.2,54,36,38,11,56,126
ENSG00000117650.13,58,60,57,30,76,124
ENSG00000224763.1,17,26,26,13,47,56
ENSG00000231057.5,100,85,119,53,125,180
ENSG00000226868.1,31,31,16,4,33,39
ENSG00000123684.13,423,277,485,110,414,470
ENSG00000241395.3,12,5,8,0,10,1
ENSG00000212205.1,1,0,4,1,1,5
ENSG00000229258.6,47,38,49,18,53,74
ENSG00000233626.2,9,7,10,8,9,27
ENSG00000143493.13,165,126,167,52,162,227
ENSG00000212187.1,1,4,4,1,7,10
ENSG00000143476.18,122,90,98,30,137,192
ENSG00000220749.4,19,25,20,2,12,14
ENSG00000264358.1,3,4,7,1,3,6
ENSG00000252879.1,8,5,9,2,12,6
ENSG00000229983.1,18,6,18,1,18,16
ENSG00000226251.8,131,96,120,57,156,232
ENSG00000066027.12,264,178,268,60,233,299
ENSG00000230063.1,18,12,34,8,19,23
ENSG00000234915.1,7,4,4,1,5,9
ENSG00000225338.1,17,11,14,4,16,9
ENSG00000201544.1,12,12,13,6,16,19
ENSG00000229832.1,17,4,7,2,19,12
ENSG00000065600.13,98,110,128,44,143,194
ENSG00000287445.1,56,37,31,14,54,78
ENSG00000117691.10,203,234,191,30,135,135
ENSG00000224535.2,39,29,36,19,48,74
ENSG00000286213.1,37,36,38,14,55,68
ENSG00000228067.1,8,3,6,3,12,20
ENSG00000260805.3,58,34,65,16,75,75
ENSG00000288007.1,35,42,33,11,29,75
ENSG00000162772.18,102,85,84,51,162,197
ENSG00000235862.2,4,1,1,2,3,9
ENSG00000162771.8,7,1,11,2,3,17
ENSG00000226036.1,9,5,8,8,18,18
ENSG00000237980.2,49,31,41,18,50,68
ENSG00000123685.9,61,52,55,28,72,70
ENSG00000117697.15,348,344,393,105,344,467
ENSG00000203705.11,178,121,167,30,133,137
ENSG00000236905.2,7,13,16,6,13,33
ENSG00000185523.6,13,13,12,3,10,15
ENSG00000198468.11,109,56,90,31,100,113
ENSG00000235182.1,0,0,0,0,0,0
ENSG00000236317.1,7,2,3,1,0,4
ENSG00000162769.13,117,114,121,30,135,242
ENSG00000282718.1,13,14,18,4,23,33
ENSG00000143494.16,197,159,174,73,228,301
ENSG00000174606.14,185,150,171,49,179,216
ENSG00000136643.12,240,229,343,90,280,356
ENSG00000228646.3,11,9,8,1,15,17
ENSG00000225233.2,37,20,38,8,42,61
ENSG00000228255.1,6,9,5,9,12,17
ENSG00000230461.10,197,152,187,81,270,326
ENSG00000281664.1,39,28,31,16,34,59
ENSG00000117707.17,446,281,296,69,378,408
ENSG00000274895.1,78,40,65,37,84,94
ENSG00000272167.2,54,31,42,11,61,67
ENSG00000283518.1,43,38,42,28,44,107
ENSG00000143499.14,389,316,324,98,266,351
ENSG00000228470.1,19,14,20,13,23,33
ENSG00000152104.12,1429,944,1244,373,1066,1411
ENSG00000213036.3,11,11,23,4,21,21
ENSG00000215819.3,55,28,46,17,67,71
ENSG00000117724.15,185,154,171,68,250,347
ENSG00000250536.1,70,32,48,15,47,73
ENSG00000224584.2,5,8,2,0,7,6
ENSG00000185221.6,27,24,24,10,49,45
ENSG00000223869.1,8,7,15,5,15,11
ENSG00000287008.1,38,16,51,14,52,48
ENSG00000082482.14,75,59,80,35,105,150
ENSG00000232809.1,26,17,10,6,26,36
ENSG00000282265.1,22,17,22,6,23,37
ENSG00000136636.13,271,195,314,79,268,284
ENSG00000042781.14,453,325,464,147,516,860
ENSG00000202498.1,0,0,5,3,8,3
ENSG00000229242.1,10,13,8,7,15,28
ENSG00000233620.5,11,14,14,5,13,31
ENSG00000236292.1,8,2,13,4,20,26
ENSG00000226013.1,9,7,9,5,13,8
ENSG00000196482.18,352,272,257,63,389,396
ENSG00000092978.11,181,108,171,53,170,211
ENSG00000162814.11,86,53,74,26,78,136
ENSG00000234070.1,5,6,4,0,7,11
ENSG00000228247.1,13,6,4,1,14,8
ENSG00000231814.3,49,52,45,20,52,52
ENSG00000230714.1,10,13,4,3,7,8
ENSG00000232100.1,36,29,26,15,28,60
ENSG00000286775.1,15,12,19,5,20,28
ENSG00000201493.1,1,0,3,0,0,4
ENSG00000067533.6,323,243,290,78,253,318
ENSG00000229016.1,7,6,13,3,21,13
ENSG00000223375.1,4,1,6,3,12,11
ENSG00000232480.3,17,18,21,5,29,35
ENSG00000092969.12,148,88,185,51,270,338
ENSG00000281453.1,0,0,0,0,0,0
ENSG00000228208.7,16,18,25,9,17,39
ENSG00000212610.2,10,6,6,0,8,6
ENSG00000226693.1,33,18,28,10,41,67
ENSG00000225561.2,16,19,28,5,29,31
ENSG00000228063.4,92,83,76,30,79,121
ENSG00000143353.12,154,133,140,44,126,146
ENSG00000225920.2,28,14,32,8,27,34
ENSG00000223842.1,34,16,28,19,53,57
ENSG00000277007.1,66,30,56,8,72,53
ENSG00000287676.1,44,13,29,12,32,37
ENSG00000228536.3,91,77,79,34,103,133
ENSG00000238232.1,15,6,6,1,11,23
ENSG00000215817.9,65,44,74,26,103,115
ENSG00000196660.12,130,90,97,52,160,185
ENSG00000252086.1,13,6,11,1,3,9
ENSG00000221673.2,1,4,1,2,9,2
ENSG00000136628.18,1417,911,1192,249,714,925
ENSG00000162813.18,111,100,99,27,116,151
ENSG00000067704.10,731,648,872,193,533,620
ENSG00000207590.1,0,3,0,0,4,8
ENSG00000207624.1,0,5,0,0,4,4
ENSG00000232134.1,8,5,10,3,13,24
ENSG00000118873.17,496,401,523,120,362,486
ENSG00000281696.1,0,0,0,0,1,0
ENSG00000222370.1,0,0,0,0,0,0
ENSG00000270585.1,9,4,18,3,14,17
ENSG00000270708.1,17,21,21,5,28,22
ENSG00000218283.2,289,211,311,44,197,192
ENSG00000213033.4,37,23,31,6,41,32
ENSG00000230318.2,34,33,41,11,52,83
ENSG00000232883.1,16,19,22,5,25,37
ENSG00000226927.1,3,9,15,7,21,17
ENSG00000260505.1,38,20,29,11,30,56
ENSG00000235163.2,16,8,5,2,6,14
ENSG00000234863.1,8,5,5,1,8,11
ENSG00000226226.1,13,15,17,7,17,35
ENSG00000231529.2,23,17,34,7,39,56
ENSG00000116141.17,122,137,147,50,168,219
ENSG00000243872.3,8,5,10,9,11,16
ENSG00000233012.2,39,43,40,25,53,78
ENSG00000162817.7,180,110,195,52,180,210
ENSG00000117791.16,168,141,246,49,156,206
ENSG00000186205.14,246,181,208,85,283,287
ENSG00000286231.1,0,0,0,0,0,0
ENSG00000221571.3,4,2,2,5,8,11
ENSG00000276642.1,0,0,0,0,0,0
ENSG00000272823.1,11,8,11,5,21,15
ENSG00000238078.1,53,28,29,23,34,63
ENSG00000257551.1,11,24,14,2,23,24
ENSG00000289142.1,39,35,30,11,57,70
ENSG00000136630.13,68,46,48,22,76,109
ENSG00000226211.1,3,4,11,4,8,27
ENSG00000234754.2,57,61,53,24,93,114
ENSG00000232436.1,24,12,21,8,31,52
ENSG00000286398.1,8,10,10,3,23,13
ENSG00000227585.2,13,14,6,9,20,32
ENSG00000286421.1,48,22,41,21,58,83
ENSG00000143507.18,183,150,169,39,212,234
ENSG00000227925.2,18,17,20,15,24,48
ENSG00000200033.1,4,3,8,3,7,4
ENSG00000238042.5,42,25,28,7,66,55
ENSG00000228437.5,27,19,22,7,30,60
ENSG00000232679.2,46,37,37,22,55,72
ENSG00000236230.2,38,30,37,13,56,92
ENSG00000227613.1,14,8,11,5,22,33
ENSG00000226643.2,14,13,17,14,13,34
ENSG00000234419.1,89,93,86,43,66,154
ENSG00000276997.4,49,37,45,22,52,97
ENSG00000222399.1,4,0,2,1,3,14
ENSG00000267305.2,25,24,21,2,19,52
ENSG00000143512.13,109,92,110,54,139,234
ENSG00000143498.18,68,42,78,20,71,93
ENSG00000225265.2,39,39,31,5,37,54
ENSG00000154305.18,913,512,674,135,558,578
ENSG00000229399.1,20,8,17,5,20,25
ENSG00000272750.1,17,16,27,7,17,44
ENSG00000186063.13,165,117,150,37,112,166
ENSG00000162819.12,238,189,300,72,259,230
ENSG00000197520.11,33,22,57,15,53,82
ENSG00000289880.1,1,1,1,3,2,2
ENSG00000287684.1,54,45,49,17,67,92
ENSG00000154309.9,200,142,209,53,179,306
ENSG00000234523.1,10,5,5,4,2,8
ENSG00000287338.1,147,78,90,51,147,226
ENSG00000187554.14,109,77,94,53,140,185
ENSG00000236846.1,25,33,28,11,33,57
ENSG00000226601.1,8,17,15,11,27,28
ENSG00000143502.16,184,170,171,77,256,349
ENSG00000251789.2,5,5,1,3,5,18
ENSG00000178395.7,85,63,61,24,100,124
ENSG00000203697.12,287,175,203,86,286,400
ENSG00000227002.2,4,5,6,3,8,9
ENSG00000212398.1,4,0,1,0,0,5
ENSG00000162909.18,1069,600,911,261,778,1080
ENSG00000143514.18,346,273,365,82,284,360
ENSG00000288999.2,33,28,35,11,32,46
ENSG00000227621.1,23,18,21,18,29,35
ENSG00000188460.4,62,42,30,15,64,84
ENSG00000233771.2,88,80,88,52,94,144
ENSG00000291068.1,120,100,97,30,128,142
ENSG00000212157.1,5,7,3,0,2,13
ENSG00000272645.6,0,1,1,0,0,0
ENSG00000290989.1,46,37,51,13,50,47
ENSG00000278467.1,20,15,18,10,21,25
ENSG00000185495.11,0,3,1,0,1,1
ENSG00000229930.1,4,7,6,0,7,16
ENSG00000252484.1,4,4,5,0,11,15
ENSG00000143756.12,243,213,278,75,288,300
ENSG00000236773.1,4,6,5,3,10,10
ENSG00000143753.14,109,83,139,32,114,107
ENSG00000201898.1,6,8,2,1,11,13
ENSG00000232628.7,27,25,31,13,44,47
ENSG00000237101.1,22,24,32,6,39,57
ENSG00000143748.18,208,156,194,60,222,276
ENSG00000221406.1,8,10,5,2,10,15
ENSG00000229742.1,17,10,17,9,28,39
ENSG00000206887.1,6,6,6,0,13,9
ENSG00000143771.12,223,188,242,67,215,262
ENSG00000162923.18,1099,904,1341,272,963,974
ENSG00000266618.1,2,3,1,0,1,5
ENSG00000143786.8,101,71,104,38,118,188
ENSG00000229991.1,28,14,23,6,33,41
ENSG00000233384.3,91,77,94,56,123,181
ENSG00000234247.1,13,13,10,4,18,10
ENSG00000286174.1,35,32,35,19,30,71
ENSG00000229400.1,27,27,43,18,52,60
ENSG00000225334.3,45,41,30,13,59,70
ENSG00000286719.1,43,25,44,18,46,88
ENSG00000185842.16,279,261,311,91,382,561
ENSG00000143815.15,178,120,186,62,222,241
ENSG00000234476.5,120,84,98,52,122,178
ENSG00000282418.1,38,17,14,3,39,28
ENSG00000289962.1,36,22,19,18,39,66
ENSG00000154380.19,1171,672,773,217,1129,1532
ENSG00000289602.1,52,33,42,6,46,38
ENSG00000227496.3,122,139,56,29,103,156
ENSG00000226349.1,26,37,19,9,32,66
ENSG00000223306.2,5,2,7,1,8,4
ENSG00000143742.14,579,374,507,132,318,366
ENSG00000234112.2,14,8,21,4,19,25
ENSG00000143819.13,390,327,385,144,309,323
ENSG00000242861.1,23,15,29,10,32,23
ENSG00000196187.12,425,325,402,197,441,728
ENSG00000243709.1,30,32,25,12,41,51
ENSG00000255835.1,0,0,0,0,0,0
ENSG00000143811.20,122,84,101,32,68,102
ENSG00000284519.1,0,0,0,0,0,0
ENSG00000248322.1,3,1,2,1,2,2
ENSG00000143768.13,82,77,73,41,108,110
ENSG00000213032.3,7,0,5,2,0,4
ENSG00000143751.10,205,178,248,61,187,264
ENSG00000289341.2,17,17,30,10,25,32
ENSG00000272562.2,33,25,22,11,37,39
ENSG00000163041.13,547,416,567,120,380,532
ENSG00000225518.3,87,75,61,21,95,108
ENSG00000270598.1,26,21,18,5,28,14
ENSG00000182827.9,370,233,311,73,325,301
ENSG00000234478.1,15,8,7,3,4,15
ENSG00000223570.2,6,11,9,1,8,14
ENSG00000185155.12,64,40,43,16,57,63
ENSG00000183814.16,97,88,116,26,144,146
ENSG00000236994.1,15,16,10,10,20,27
ENSG00000275406.1,5,6,14,4,16,20
ENSG00000289348.1,14,18,24,12,29,39
ENSG00000143799.14,982,792,1142,256,724,791
ENSG00000270287.1,6,9,8,3,15,18
ENSG00000229965.1,11,7,19,5,14,30
ENSG00000223282.1,10,7,8,4,20,19
ENSG00000177770.11,14,11,7,5,19,13
ENSG00000287627.1,23,35,23,10,34,40
ENSG00000203685.11,291,199,257,99,330,441
ENSG00000143772.11,447,337,435,171,436,671
ENSG00000228382.3,38,31,54,12,54,73
ENSG00000228548.1,19,13,11,5,16,25
ENSG00000238183.2,13,5,5,0,15,19
ENSG00000287259.1,52,51,34,18,80,96
ENSG00000143801.18,140,145,159,65,215,241
ENSG00000288674.1,144,103,119,45,159,213
ENSG00000163050.18,20,14,27,6,39,30
ENSG00000228525.1,17,15,11,7,18,14
ENSG00000143776.20,892,577,862,248,647,890
ENSG00000233706.1,0,0,0,0,0,0
ENSG00000287532.1,35,24,25,11,32,45
ENSG00000228625.1,30,23,36,16,37,34
ENSG00000228729.1,28,16,19,12,21,41
ENSG00000236636.2,22,6,16,5,19,22
ENSG00000287525.1,28,18,23,8,23,40
ENSG00000234277.3,37,39,44,22,77,102
ENSG00000232864.1,14,14,8,3,18,13
ENSG00000242757.1,0,0,0,0,0,0
ENSG00000224834.1,14,16,24,6,32,29
ENSG00000237193.1,4,3,4,1,8,3
ENSG00000278180.1,50,49,45,24,62,89
ENSG00000237469.2,25,33,37,19,36,70
ENSG00000235827.2,42,26,27,22,49,73
ENSG00000227711.3,46,43,48,28,61,105
ENSG00000287205.1,29,26,50,19,49,87
ENSG00000202264.1,30,19,23,12,25,49
ENSG00000181450.18,152,104,156,50,231,214
ENSG00000225934.2,8,11,10,2,5,19
ENSG00000215812.5,32,42,32,16,44,51
ENSG00000143740.15,406,291,326,169,423,638
ENSG00000081692.13,129,94,108,51,117,167
ENSG00000230005.2,43,47,44,20,63,93
ENSG00000286389.2,126,120,93,51,173,228
ENSG00000185888.6,62,60,55,49,78,138
ENSG00000143816.8,196,164,200,101,290,384
ENSG00000264483.1,22,23,12,4,16,37
ENSG00000233003.4,73,74,93,37,159,174
ENSG00000274886.1,11,10,12,0,9,8
ENSG00000154342.6,125,141,99,64,159,233
ENSG00000276255.2,84,75,75,35,92,145
ENSG00000143761.17,821,502,728,148,496,525
ENSG00000284163.1,0,0,0,0,0,0
ENSG00000143793.13,141,135,144,62,153,186
ENSG00000162910.19,114,94,128,49,127,170
ENSG00000224566.2,10,15,5,2,13,23
ENSG00000287895.1,25,19,35,4,22,41
ENSG00000280157.1,42,50,49,13,69,95
ENSG00000227625.2,13,11,10,6,22,20
ENSG00000143774.18,232,287,267,84,240,321
ENSG00000198835.4,75,73,75,46,148,159
ENSG00000203684.5,38,21,22,7,52,44
ENSG00000181873.13,340,329,346,133,355,426
ENSG00000162913.10,114,86,92,44,128,172
ENSG00000154358.23,43127,22921,31792,8652,15569,27817
ENSG00000269934.3,514,400,623,157,357,675
ENSG00000270110.2,253,195,342,79,238,385
ENSG00000286773.1,47,22,40,25,50,74
ENSG00000287315.1,286,210,282,130,270,457
ENSG00000270104.1,7,2,6,2,11,12
ENSG00000154370.16,256,222,261,162,326,536
ENSG00000270094.1,0,0,0,0,0,0
ENSG00000284311.1,0,0,0,0,0,0
ENSG00000231563.3,55,59,77,28,71,103
ENSG00000162931.12,162,134,100,65,192,300
ENSG00000168148.4,20,23,19,11,29,55
ENSG00000181218.6,29,16,25,19,33,43
ENSG00000230841.2,14,11,10,4,14,29
ENSG00000196890.5,77,88,80,17,115,125
ENSG00000266174.1,0,0,0,0,0,0
ENSG00000181201.4,12,19,15,9,29,28
ENSG00000279306.1,32,19,31,13,34,65
ENSG00000168159.15,298,331,390,99,258,373
ENSG00000215811.6,37,42,37,16,37,79
ENSG00000202056.1,6,6,4,7,7,5
ENSG00000251823.2,1,0,0,0,1,1
ENSG00000199352.1,0,0,0,0,0,0
ENSG00000201588.1,0,0,0,0,0,0
ENSG00000199337.1,0,0,0,0,0,0
ENSG00000200381.1,0,0,0,0,0,0
ENSG00000199396.1,0,0,0,0,0,0
ENSG00000200624.1,0,0,0,0,0,1
ENSG00000202521.1,1,0,1,0,0,0
ENSG00000200343.1,0,0,0,0,0,0
ENSG00000201321.1,6,0,20,1,15,2
ENSG00000199910.1,0,0,0,0,0,0
ENSG00000199334.1,0,0,0,0,0,0
ENSG00000199270.1,1,0,0,0,0,0
ENSG00000202526.1,0,0,0,0,0,0
ENSG00000201355.1,0,0,0,0,0,0
ENSG00000201925.1,0,0,0,0,0,1
ENSG00000202257.1,0,0,0,0,0,0
ENSG00000200370.1,0,0,0,0,0,0
ENSG00000212237.1,12,22,17,5,21,28
ENSG00000183929.7,34,39,29,13,39,49
ENSG00000206878.1,4,4,3,0,0,4
ENSG00000234975.6,14,13,29,10,23,25
ENSG00000116574.6,379,248,227,93,166,187
ENSG00000271475.1,13,22,12,4,17,37
ENSG00000271399.1,8,12,7,1,14,15
ENSG00000282111.1,27,24,31,12,30,53
