Geneid,Control1,Control2,Control3,Disease1,Disease2,Disease3
ENSG00000248333.9,348,352,273,120,365,426
ENSG00000272004.1,2,1,5,0,1,5
ENSG00000189339.12,377,268,331,130,334,416
ENSG00000269737.2,89,86,73,20,103,118
ENSG00000215914.4,30,18,5,4,2,20
ENSG00000008128.23,32,18,15,6,28,37
ENSG00000268575.1,26,17,14,7,11,31
ENSG00000227775.3,10,4,13,2,4,8
ENSG00000290854.1,84,33,30,17,36,86
ENSG00000215790.9,0,0,0,0,0,0
ENSG00000008130.15,239,209,224,122,295,397
ENSG00000078369.19,508,381,598,163,460,565
ENSG00000231050.3,32,19,34,24,39,79
ENSG00000169885.10,47,45,68,44,120,143
ENSG00000178821.13,78,138,143,50,97,188
ENSG00000142609.20,415,462,379,263,620,1030
ENSG00000233542.2,77,50,58,17,92,105
ENSG00000187730.9,91,122,121,71,163,228
ENSG00000226969.1,26,39,26,14,47,42
ENSG00000067606.17,164,192,159,108,248,352
ENSG00000271806.1,100,106,80,36,105,172
ENSG00000182873.5,61,70,57,30,112,121
ENSG00000162585.17,40,61,47,33,79,125
ENSG00000234396.3,22,16,16,5,13,42
ENSG00000157933.11,344,328,394,137,422,497
ENSG00000287356.1,184,187,142,111,276,431
ENSG00000116151.14,169,172,144,107,228,330
ENSG00000272161.1,19,16,11,17,37,48
ENSG00000269896.2,53,65,80,42,85,151
ENSG00000272420.1,6,10,6,1,6,12
ENSG00000157916.20,373,303,364,121,290,419
ENSG00000157911.11,126,109,112,54,143,214
ENSG00000149527.18,267,321,253,144,465,693
ENSG00000224387.1,18,22,17,24,38,62
ENSG00000229393.1,30,34,22,14,54,64
ENSG00000157881.16,318,308,338,163,403,593
ENSG00000197921.6,53,66,47,29,97,115
ENSG00000272449.3,41,75,53,21,81,114
ENSG00000238164.6,192,180,164,95,252,436
ENSG00000157873.18,113,139,140,82,170,282
ENSG00000225931.3,55,68,54,34,64,116
ENSG00000228037.1,38,40,39,18,56,66
ENSG00000289610.2,36,54,25,17,37,66
ENSG00000157870.17,117,151,128,50,177,290
ENSG00000142606.16,207,213,209,111,360,570
ENSG00000237058.1,19,18,15,8,15,37
ENSG00000215912.13,290,277,257,176,429,623
ENSG00000285945.1,33,28,27,13,45,80
ENSG00000283259.1,117,53,70,23,101,81
ENSG00000233234.1,24,44,15,15,48,65
ENSG00000287396.1,25,25,12,12,43,46
ENSG00000231630.1,17,8,11,10,30,31
ENSG00000284745.1,53,57,69,28,68,104
ENSG00000169717.7,55,39,41,26,82,108
ENSG00000177133.14,189,190,183,78,288,374
ENSG00000142611.17,328,412,376,231,590,780
ENSG00000283572.1,7,10,3,5,10,15
ENSG00000226286.1,18,23,25,18,36,76
ENSG00000279839.1,79,83,60,55,136,147
ENSG00000272235.1,86,79,92,45,133,211
ENSG00000287828.1,47,55,62,28,88,116
ENSG00000286518.1,70,67,83,57,130,137
ENSG00000130762.15,214,230,181,101,337,527
ENSG00000272088.1,7,1,3,6,7,18
ENSG00000162591.17,435,490,418,303,719,1141
ENSG00000207776.1,13,17,14,7,12,26
ENSG00000238260.3,48,75,56,31,95,113
ENSG00000158109.15,343,309,370,56,233,252
ENSG00000116213.16,176,114,136,46,164,300
ENSG00000078900.15,296,297,263,158,422,629
ENSG00000227589.1,39,31,33,9,45,59
ENSG00000235131.1,23,13,19,12,36,43
ENSG00000227372.12,230,209,202,100,247,390
ENSG00000276189.1,0,0,0,0,0,0
ENSG00000162592.10,162,158,125,74,235,260
ENSG00000235169.11,48,43,40,18,47,90
ENSG00000130764.10,444,495,499,151,408,494
ENSG00000266075.2,7,8,10,2,11,6
ENSG00000272153.1,18,11,8,12,16,25
ENSG00000116198.14,407,377,397,157,420,530
ENSG00000169598.17,177,140,137,72,197,212
ENSG00000198912.12,111,80,102,33,85,145
ENSG00000236423.8,158,123,105,60,206,278
ENSG00000233304.7,98,101,91,50,119,206
ENSG00000226374.3,77,66,64,45,94,135
ENSG00000284668.2,72,86,95,35,118,141
ENSG00000284703.1,87,63,85,24,98,98
ENSG00000229280.1,30,16,22,11,30,33
ENSG00000235054.4,75,50,58,32,101,142
ENSG00000284694.1,80,85,82,40,131,175
ENSG00000227169.2,9,1,9,4,12,17
ENSG00000232596.3,87,66,85,45,141,194
ENSG00000196581.11,362,295,320,136,396,562
ENSG00000287586.1,79,76,86,31,132,143
ENSG00000284739.1,17,15,14,11,16,50
ENSG00000284674.1,52,44,62,16,76,110
ENSG00000231510.1,16,22,15,8,21,30
ENSG00000284616.1,33,22,37,14,52,69
ENSG00000284692.2,59,35,41,21,61,87
ENSG00000284666.1,43,22,22,17,46,65
ENSG00000260972.1,54,36,45,9,33,59
ENSG00000283356.1,4,3,5,2,11,12
ENSG00000236948.2,45,28,47,24,57,101
ENSG00000264341.1,6,4,5,8,5,12
ENSG00000289893.1,55,38,50,22,79,128
ENSG00000264101.1,11,12,6,9,8,17
ENSG00000131697.18,376,300,338,201,468,711
ENSG00000069424.16,593,503,469,268,645,1054
ENSG00000116254.18,546,523,499,306,881,1187
ENSG00000285629.1,11,11,9,10,17,25
ENSG00000116251.11,792,588,570,140,344,565
ENSG00000226944.1,37,23,31,15,33,41
ENSG00000158286.13,243,248,176,123,324,432
ENSG00000116237.16,674,519,419,238,535,420
ENSG00000225077.3,79,67,61,32,97,141
ENSG00000173673.9,31,40,40,22,61,91
ENSG00000158292.7,140,172,164,83,204,312
ENSG00000097021.21,188,172,178,77,216,326
ENSG00000271746.1,10,6,24,4,18,19
ENSG00000069812.11,172,152,133,56,232,283
ENSG00000187017.18,238,261,230,107,400,501
ENSG00000265392.1,9,17,17,3,11,17
ENSG00000231868.1,14,31,20,16,31,57
ENSG00000215788.11,135,119,128,74,177,291
ENSG00000171680.23,342,383,352,180,435,762
ENSG00000162408.11,437,318,415,121,417,430
ENSG00000253022.1,7,1,2,2,7,9
ENSG00000229519.2,20,13,15,2,16,22
ENSG00000173662.21,138,124,121,70,172,240
ENSG00000204859.13,189,177,178,115,265,379
ENSG00000162413.17,631,531,632,370,498,688
ENSG00000116273.6,162,137,196,70,182,250
ENSG00000041988.16,140,96,144,38,150,171
ENSG00000007923.17,337,229,307,94,281,328
ENSG00000228750.7,56,68,53,26,58,108
ENSG00000284744.1,24,15,22,7,13,27
ENSG00000237436.1,31,23,14,10,33,37
ENSG00000171735.21,549,484,595,173,639,886
ENSG00000227950.1,7,9,17,1,7,8
ENSG00000237365.1,15,18,20,6,30,39
ENSG00000207056.1,6,7,9,0,10,16
ENSG00000237402.1,17,22,20,6,21,43
ENSG00000237728.2,52,42,44,18,54,78
